gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,logP,Signif,Difference
GALGAL-R05326,1.99458190217899e-150,1.01583583526257,0.532,0.324,2.98748477308369e-146,145.524694299594,upregulated,0.208
GALGAL-R08904,2.35898122995615e-149,-0.623034429377297,0.711,0.834,3.53328208622833e-145,144.451821688463,downregulated,-0.123
GALGAL-R09968,1.28475463152894e-146,0.38708598801737,0.974,0.906,1.92430548710404e-142,141.715725981762,upregulated,0.0679999999999999
GALGAL-R15173,2.20897981105052e-146,0.686586802529705,0.724,0.57,3.30860996099147e-142,141.48035442709,upregulated,0.154
GALGAL-R10632,4.6538094819903e-146,-0.948138951382563,0.574,0.712,6.97047584212507e-142,141.156737573616,downregulated,-0.138
GALGAL-R13666,8.64653870372773e-146,-2.04313987217498,0.048,0.172,1.29507856704434e-141,140.887703883939,downregulated,-0.124
GALGAL-R08526,2.65196749379498e-144,-5.48753268336363,0.002,0.068,3.97211691220613e-140,139.400977977302,downregulated,-0.066
GALGAL-R11129,7.22639384602451e-144,1.16172421636901,0.396,0.194,1.08236927025755e-139,138.965624546369,upregulated,0.202
GALGAL-R14910,2.06981979099489e-142,0.588976958878189,0.785,0.648,3.10017608295214e-138,137.508613638526,upregulated,0.137
GALGAL-R07310,1.93884491686503e-141,-1.33016465310827,0.252,0.429,2.90400191648044e-137,136.537003101362,downregulated,-0.177
GALGAL-R05450,7.39778457960203e-141,-2.17409080531936,0.257,0.42,1.10804017433279e-136,135.95544449306,downregulated,-0.163
GALGAL-R05914,1.69241968586909e-140,-1.54347718943266,0.107,0.262,2.53490620549472e-136,135.596038105439,downregulated,-0.155
GALGAL-R08856,1.91439784892377e-140,0.540407993792344,0.816,0.694,2.86738509811802e-136,135.54251397613,upregulated,0.122
GALGAL-R04764,3.57760142804558e-140,1.14062754228564,0.417,0.219,5.35853141892667e-136,135.270954218525,upregulated,0.198
GALGAL-R12458,2.97511498435085e-139,1.56726888742689,0.263,0.089,4.4561272235607e-135,134.35104241844,upregulated,0.174
GALGAL-R03054,8.17193256041771e-139,-1.29607603472675,0.133,0.298,1.22399205889936e-134,133.912221399827,downregulated,-0.165
GALGAL-R03170,8.65734805525818e-139,1.14588594688093,0.393,0.195,1.29669759171657e-134,133.887161295745,upregulated,0.198
GALGAL-R02069,6.10093321065878e-136,0.604079834759688,0.75,0.592,9.13797776292472e-132,131.039149903125,upregulated,0.158
GALGAL-R08820,9.54118537152239e-136,0.575510594462153,0.773,0.618,1.42907874494662e-131,130.844943840101,upregulated,0.155
GALGAL-R16467,1.04272723655423e-135,0.602042546703791,0.803,0.673,1.56179685491093e-131,130.806375456072,upregulated,0.13
GALGAL-R09084,5.85139816148561e-134,-1.00602764657706,0.232,0.418,8.76422416627315e-130,129.057286522835,downregulated,-0.186
GALGAL-R05327,4.68560254167109e-133,0.823421500785393,0.567,0.377,7.01809548691495e-129,128.15378072715,upregulated,0.19
GALGAL-R05053,1.86861436245701e-132,0.93636426634282,0.495,0.3,2.79881059208811e-128,127.553026491171,upregulated,0.195
GALGAL-R00255,2.40443295261847e-132,-1.81732809725296,0.123,0.274,3.60135967643194e-128,127.443533502431,downregulated,-0.151
GALGAL-R03252,2.78459871180786e-132,0.827428078307825,0.527,0.323,4.17077195054581e-128,127.379783555857,upregulated,0.204
GALGAL-R09290,5.53860240900276e-129,0.486725914802683,0.819,0.708,8.29571868820434e-125,124.081145983503,upregulated,0.111
