"","geneid","HH29_Beak","HH30_Beak","HH36_Beak","HH38_Beak"
"13279","GALGAL-R14866",4.6848079163412,2.35850542712272,5.00332216153959,11.3436234368002
"13280","GALGAL-R14867",0.254369607467117,0.202346523737379,0.666472114238394,0.188492766833022
"13281","GALGAL-R14868",0.00893791550853758,0.0041390826763384,0.00331394759587087,0.00453372514105289
"13282","GALGAL-R14869",0.793124672904754,0.472906575417576,0.0711123923694624,20.3709423602142
"13283","GALGAL-R14870",0.108609599160429,0.068421925718824,0.134893406483367,0.0905307013493142
"13284","GALGAL-R14872",5.09057767553458,0.395475295511863,0.671209859110125,62.4655935363158
"13285","GALGAL-R14873",1542.45710907169,210.858060012573,78.0038764944326,82.2557514300462
"13286","GALGAL-R14874",2.76016751420417,1.41085708548846,4.22824204911399,1.01184570610069
"13287","GALGAL-R14875",0.287660248421002,0.260335163636633,2.28657959857487,0.241133955663707
"13288","GALGAL-R14876",0.0129714105204888,0.0235584075971754,0.0735010724412107,0.0186905455534708
"13289","GALGAL-R14877",0.105971800138626,1.05065639594905,0.20252193659277,1.22456470768479
"13290","GALGAL-R14878",0.724501040269948,1.23210087617307,4.06613346599249,4.22251888399335
"13291","GALGAL-R14879",0.348474954090033,0.217185583313268,1.76791725676318,0.131125508941165
"13292","GALGAL-R14880",0.119822565637033,0.046951489979096,0.0640500661325127,0.0414579952708617
"13293","GALGAL-R14881",0.253600548820635,0.20934100863819,0.140406139099499,0.0719887392370969
"13294","GALGAL-R14882",7.02313361089134e+111,2.08499665220538e+131,5.48349078366052e+108,1.03475420118207e+251
"13295","GALGAL-R14883",0.0500115801125492,0.0298744659626215,0.0981834080167887,0.0420247109134933
"13296","GALGAL-R14884",0.0257047307259481,0.0244641157450498,0.0177599121486441,0.00623387206894772
"13297","GALGAL-R14885",0.135462158146088,0.137575995148483,0.226882390161926,0.127877885650011
"13298","GALGAL-R14886",0.602167555668436,0.450537583005294,2.82044513572859,0.278326267839288
"13299","GALGAL-R14887",0.00108477388160293,0,0.000828486898967717,0.00170014692789483
"13300","GALGAL-R14888",0.00723182587735288,0.000616092444768392,0.00745638209070945,0.00170014692789483
"13301","GALGAL-R14889",0.00929950680240523,0.00338850844622616,0.0105369298722575,0.00396700949842128
"13302","GALGAL-R14890",14125.3278365336,1915832927.60121,5.5063037117439e+22,1306759945.11413
"13303","GALGAL-R14891",0.00594331831944291,0.00506322134349099,0.0287636416495473,0.0268830426570657
"13304","GALGAL-R14892",1.59480345244358,0.38390585919001,0.503413826032739,0.555801074199222
"13305","GALGAL-R14893",0.158217791631655,0.119637166555452,0.139071493182491,0.136235146590881
