"gene","average_expression","expression_prop"
"GALGAL-R07064",2.06407840844705e+30,0.120052770448549
"GALGAL-R16556",1.93124664854587e+30,0.025065963060686
"GALGAL-R08909",1.6912474058327e+30,0.924802110817942
"GALGAL-R12897",1.59901510976905e+30,0.299472295514512
"GALGAL-R15083",1.04931103820611e+30,0.99934036939314
"GALGAL-R07623",8.53719395502434e+29,0.800461741424802
"GALGAL-R15252",4.88960124217499e+29,0.800461741424802
"GALGAL-R14531",2.17561155887744e+29,0.00989445910290238
"GALGAL-R14512",1.55217273806858e+29,0.827176781002638
"GALGAL-R16298",1.32105813940755e+29,0.369063324538259
"GALGAL-R15926",1.25875088702535e+29,0.230211081794195
"GALGAL-R06974",1.04537678708281e+29,0.995052770448549
"GALGAL-R01691",1.03081691488549e+29,0.235488126649077
"GALGAL-R12070",2.82936248529961e+28,0.961081794195251
"GALGAL-R16491",2.25490734362118e+28,0.495712401055409
"GALGAL-R07148",1.95466531001248e+28,0.0824538258575198
"GALGAL-R14890",1.61792975425042e+28,0.121372031662269
"GALGAL-R02027",1.60851177523582e+28,0.20910290237467
"GALGAL-R10080",1.31478113099152e+28,0.203825857519789
"GALGAL-R13363",8.62183617547216e+27,0.41655672823219
"GALGAL-R08733",7.26322030743527e+27,0.0220976253298153
"GALGAL-R01303",5.0425705520358e+27,0.0263852242744063
"GALGAL-R10131",4.5713719522028e+27,0.965699208443272
"GALGAL-R13744",3.50290032988632e+27,0.943271767810026
"GALGAL-R14970",1.86521322176248e+27,0.164248021108179
"GALGAL-R09065",1.46140674722698e+27,0.579815303430079
"GALGAL-R01166",1.34049180709021e+27,0.0016490765171504
"GALGAL-R11553",1.13387944968352e+27,0.0491424802110818
"GALGAL-R13563",8.70693004144235e+26,0.0247361477572559
"GALGAL-R06363",6.52173304992467e+26,0.657981530343008
"GALGAL-R16647",5.19000982390069e+26,0.83344327176781
"GALGAL-R03657",4.35585321171661e+26,0.601583113456464
"GALGAL-R06802",4.33528381509353e+26,0.99901055408971
"GALGAL-R06790",4.15522870550766e+26,0.99802110817942
"GALGAL-R12371",3.43651139855911e+26,0.853891820580475
"GALGAL-R03327",2.94859782517204e+26,0.270778364116095
"GALGAL-R08811",2.68971070198526e+26,0.0336411609498681
"GALGAL-R07363",2.39227020994964e+26,0.809036939313984
"GALGAL-R11895",1.85506805410376e+26,0.87598944591029
"GALGAL-R12287",1.61369392150937e+26,0.0484828496042216
"GALGAL-R00370",1.31718679740895e+26,0.0949868073878628
"GALGAL-R01416",6.97950195051679e+25,0.133575197889182
"GALGAL-R15991",6.46023418070968e+25,0.801121372031662
"GALGAL-R02034",5.99479458647374e+25,0.0890501319261214
"GALGAL-R16683",5.0157879806812e+25,0.074868073878628
"GALGAL-R14988",4.78685321478494e+25,0.173482849604222
"GALGAL-R03989",3.92336713864401e+25,0.145118733509235
"GALGAL-R08270",3.68481567658937e+25,0.327836411609499
"GALGAL-R13466",3.58258125868265e+25,0.224934036939314
"GALGAL-R13359",3.40657903141594e+25,0.0481530343007916
"GALGAL-R08631",2.12139249866045e+25,0.588720316622691
"GALGAL-R00646",1.60676486638287e+25,0.0953166226912929
"GALGAL-R01000",1.45232946909979e+25,0.442612137203166
"GALGAL-R06369",1.21285664634809e+25,0.257915567282322
"GALGAL-R10538",1.07594298984662e+25,0.723284960422164
"GALGAL-R08776",8.94259602894553e+24,0.204815303430079
"GALGAL-R12362",6.83316403171821e+24,0.152044854881266
"GALGAL-R08757",5.58332197747108e+24,0.480211081794195
"GALGAL-R08217",5.23855112213812e+24,0.913258575197889
"GALGAL-R05489",4.55304589321264e+24,0.0145118733509235
"GALGAL-R04279",3.93447466596753e+24,0.451517150395778
"GALGAL-R10417",2.8321617775097e+24,0.329155672823219
"GALGAL-R00440",1.04388347923706e+24,0.379617414248021
