"","Type","background","pvalue","oddvalue","Simulate"
"215","DEG","random_test","0.538488936265826","0.996562230127866","43"
"216","cpm","random_test","0.137858123641634","1.05053291261369","44"
"217","highexp","random_test","0.651895816820613","0.980723698530243","44"
"218","highvar","random_test","0.215669786903076","1.07976789078329","44"
"219","specific.ob","random_test","0.5498935974967","0.992754247317286","44"
"220","DEG","random_test","0.311342151240252","1.02347546721996","44"
"221","cpm","random_test","0.455610164552365","1.00589769575037","45"
"222","highexp","random_test","0.324833882379925","1.02542421563859","45"
"223","highvar","random_test","0.793569264976435","0.928009986523376","45"
"224","specific.ob","random_test","0.962360475014609","0.870124901152096","45"
"225","DEG","random_test","0.538488936265826","0.996562230127866","45"
"226","cpm","random_test","0.80797223624373","0.962710265929733","46"
"227","highexp","random_test","0.487030612304611","1.0029283476764","46"
"228","highvar","random_test","0.00733735747580528","1.25160479457652","46"
"229","specific.ob","random_test","0.982066031158169","0.847558218612784","46"
"230","DEG","random_test","0.0435963900336553","1.08103134987541","46"
"231","cpm","random_test","0.319997550750549","1.02197239270893","47"
"232","highexp","random_test","0.0599176377207137","1.08592528537501","47"
"233","highvar","random_test","0.339727050455629","1.0431614728054","47"
"234","specific.ob","random_test","0.488024186463545","1.00480886289509","47"
"235","DEG","random_test","0.103867836818838","1.05943206492757","47"
"236","cpm","random_test","0.782608396546393","0.966577975286967","48"
"237","highexp","random_test","0.151016507787605","1.05685584801659","48"
"238","highvar","random_test","0.765187019829064","0.936678180466874","48"
"239","specific.ob","random_test","0.396461317842232","1.02301693620338","48"
"240","DEG","random_test","0.520455022535985","0.998612330846955","48"
"241","cpm","random_test","0.169344451385711","1.04435261869764","49"
"242","highexp","random_test","0.287924281940122","1.03109576831225","49"
"243","highvar","random_test","0.143300880896165","1.1075945265812","49"
"244","specific.ob","random_test","0.426574268707167","1.01693055789121","49"
"245","DEG","random_test","0.781600943544001","0.966176688654664","49"
"246","cpm","random_test","0.630961713625436","0.98609048084177","50"
