"gene","average_expression","expression_prop"
"GALGAL-R08285",6.85848215375631e+20,0.122266045177483
"GALGAL-R15926",5.75790070308849e+20,0.432054499820724
"GALGAL-R05268",4.29713106178048e+20,0.0794191466475439
"GALGAL-R14621",4.25857421641338e+20,0.282000717102904
"GALGAL-R08909",3.07437622102488e+20,0.918250268913589
"GALGAL-R14339",2.42768453901944e+20,0.113660810326282
"GALGAL-R13466",2.3470581209689e+20,0.20096808892076
"GALGAL-R03532",1.59802964038979e+20,0.162603083542488
"GALGAL-R11002",1.19287018878832e+20,0.0256364288275368
"GALGAL-R11147",1.16783766645259e+20,0.331480817497311
"GALGAL-R03557",83328917481497444352,0.340444603800645
"GALGAL-R04416",80024274395692187648,0.0975259949802797
"GALGAL-R08290",58492455840571252736,0.0808533524560774
"GALGAL-R10187",53570738446346731520,0.0858730727859448
"GALGAL-R10080",53318164959868133376,0.214772319827895
"GALGAL-R07859",36262938716900397056,0.0910720688418788
"GALGAL-R03671",33934734914197831680,0.0543205449982072
"GALGAL-R12228",28200929077134307328,0.167981355324489
"GALGAL-R12876",21067794707781484544,0.162244532090355
"GALGAL-R02390",21067587448785399808,0.126927214055217
"GALGAL-R13407",19243793930013253632,0.204195051989961
"GALGAL-R15728",18225116970859532288,0.606669057009681
"GALGAL-R14988",1.6189685399112e+19,0.20311939763356
"GALGAL-R12405",12915933642340282368,0.103083542488347
"GALGAL-R10077",9246365617285621760,0.0858730727859448
"GALGAL-R08516",8482995412689544192,0.0835424883470778
"GALGAL-R14949",3.994261652331e+18,0.0154177124417354
"GALGAL-R02877",2206886406242407680,0.00322696306920043
"GALGAL-R10459",1725566537073623040,0.0419505198996056
"GALGAL-R08274",1520722235825835008,0.34725708139118
"GALGAL-R16227",856669192954848384,0.585335245607745
"GALGAL-R01668",805327136803572480,0.17228397275009
"GALGAL-R13370",701023150007911168,0.0650770885622087
"GALGAL-R08141",586053113251121536,0.151846539978487
"GALGAL-R16741",567807714185960896,0.120652563642883
"GALGAL-R03296",494540778354327296,0.216027249910362
"GALGAL-R09608",493957270917482176,0.0439225528863392
"GALGAL-R10657",340436437402888576,0.107565435640014
"GALGAL-R12343",229027955394533696,0.100394406597347
"GALGAL-R10740",154491794826118592,0.0636428827536751
"GALGAL-R05936",133544849513137376,0.166009322337755
"GALGAL-R01997",98339636818432656,0.194155611330226
"GALGAL-R08591",96273842891544688,0.320186446755109
"GALGAL-R10727",77999455995208960,0.019720329867336
"GALGAL-R03250",77347505693652368,0.0430261742560057
"GALGAL-R01097",64649475970162992,0.0236643958408032
"GALGAL-R10417",55323275596938552,0.270706346360703
"GALGAL-R14149",53356416533481888,0.115991394765149
"GALGAL-R13952",38806250752524856,0.0387235568304052
"GALGAL-R10488",34921752795152340,0.22857655073503
"GALGAL-R09920",25309357676624160,0.0270706346360703
"GALGAL-R05403",24950802341468076,0.273395482251703
"GALGAL-R16742",23283156939515880,0.0544998207242739
"GALGAL-R01104",21827883282464652,0.39763356041592
"GALGAL-R04576",16637340124702878,0.157941914664754
"GALGAL-R12981",10545563961567694,0.307457870204374
"GALGAL-R11008",9754297613221096,0.00268913589100036
"GALGAL-R14116",7632231033410118,0.0478666188598064
"GALGAL-R12639",4188095028376091,0.00215130871280029
"GALGAL-R07681",4102389046712443,0.182144137683758
"GALGAL-R15226",3378526613383324,0.00358551452133381
"GALGAL-R10616",2435225663265759,0.097346719254213
"GALGAL-R14031",2097285843070149,0.282717820007171
"GALGAL-R14246",2078050983728698,0.12190749372535
"GALGAL-R01488",1276689979140608,0.17712441735389
"GALGAL-R04438",1176195600199199,0.257260666905701
"GALGAL-R05624",910125262597974,0.284689852993905
"GALGAL-R12403",577118427813878,0.0908927931158121
"GALGAL-R03699",511496863381760,0.251165292219434
"GALGAL-R15806",495269200950236,0.105234851201147
"GALGAL-R00727",492413155655825,0.405880243814987
"GALGAL-R05450",453015338175212,0.208856220867695
"GALGAL-R04140",434499136413698,0.0132664037289351
"GALGAL-R00606",136372741172386,0.0523485120114736
"GALGAL-R05935",112855736636414,0.0442811043384726
"GALGAL-R16138",93504200722116.5,0.104338472570814
"GALGAL-R04298",79048267636774,0.278773754033704
"GALGAL-R12345",72054916523333.6,0.236823234134098
"GALGAL-R10535",61967225677276.7,0.0509143062029401
"GALGAL-R05457",59419771030215.2,0.307816421656508
"GALGAL-R03648",48343736010771,0.27411258515597
"GALGAL-R12267",35219197171585.7,0.190928648261025
"GALGAL-R12362",22804119960836.9,0.115453567586949
"GALGAL-R03745",14234811685220.1,0.103979921118681
"GALGAL-R08440",13523418216020.7,0.463965579060595
"GALGAL-R14257",13162143233435,0.00233058443886698
"GALGAL-R07066",12339873792627.5,0.0442811043384726
"GALGAL-R05386",9060660189829.05,0.0600573682323413
"GALGAL-R01976",8140762885128.47,0.186626030835425
"GALGAL-R13563",8024445333123.19,0.00233058443886698
"GALGAL-R08832",7537610920728.41,0.0130871280028684
"GALGAL-R03964",7537610919564.56,0.0148798852635353
"GALGAL-R00627",7537610919305.77,0.00358551452133381
"GALGAL-R07284",7168117827993.54,0.0553961993546074
"GALGAL-R04547",5499505762975.74,0.0629257798494084
"GALGAL-R08255",5334821087396.32,0.0442811043384726
"GALGAL-R11245",3716503090059.69,0.269630692004303
"GALGAL-R09462",3573943078661.63,0.0276084618142703
"GALGAL-R11085",3546090082071.81,0.052169236285407
"GALGAL-R10782",3305464119427.99,0.00717102904266762
"GALGAL-R05090",2809162189355.68,0.422732162065256
"GALGAL-R06548",2348508115724.71,0.207063463607028
"GALGAL-R09526",2335310161489.07,0.00663320186446755
"GALGAL-R15756",1844050598114.76,0.0663320186446755
"GALGAL-R16959",1478298683933.71,0.0905342416636787
"GALGAL-R08733",1262677200225.76,0.0385442811043385
"GALGAL-R05060",1227833303156.58,0.141986375044819
"GALGAL-R14373",1171314461384.04,0.0207959842237361
"GALGAL-R12065",1162022900546.52,0.057368232341341
"GALGAL-R16193",860084476601.444,0.113302258874148
"GALGAL-R12225",767356098698.424,0.00878451057726784
"GALGAL-R03160",636916412313.87,0.0381857296522051
"GALGAL-R05491",634535899421.448,0.0250986016493367
"GALGAL-R08155",587024636849.655,0.0139835066332019
"GALGAL-R07226",477430506700.566,0.140372893510219
"GALGAL-R01664",473294113792.918,0.0286841161706705
"GALGAL-R00524",454752524073.495,0.0478666188598064
"GALGAL-R10794",450853160957.817,0.0276084618142703
"GALGAL-R07351",420586638142.242,0.286661885980638
"GALGAL-R11954",385898708953.713,0.263893868770169
"GALGAL-R16554",304144968971.145,0.135173897454285
"GALGAL-R05134",217069613490.876,0.00484044460380065
"GALGAL-R00231",201062125317.654,0.0105772678379347
"GALGAL-R10181",200432817275.962,0.136608103262818
"GALGAL-R14555",200384031304.894,0.148081749731086
"GALGAL-R00837",158740417125.775,0.293295087845106
